SERIE_INITIAL_DATA: 2010 1 01 0 0 0
TIME_UNITS: SECONDS     
seconds YY MM DD Kc  
<BeginTimeSerie>      
57456000 2011 10 28 0.4
57542400 2011 10 29 0.4
57628800 2011 10 30 0.4
57715200 2011 10 31 0.4
57801600 2011 11 1 0.3
57888000 2011 11 2 0.3
57974400 2011 11 3 0.3
58060800 2011 11 4 0.3
58147200 2011 11 5 0.3
58233600 2011 11 6 0.3
58320000 2011 11 7 0.3
58406400 2011 11 8 0.3
58492800 2011 11 9 0.3
58579200 2011 11 10 0.3
58665600 2011 11 11 0.317912891706182
58752000 2011 11 12 0.335825783412363
58838400 2011 11 13 0.353738675118545
58924800 2011 11 14 0.371651566824726
59011200 2011 11 15 0.389564458530908
59097600 2011 11 16 0.407477350237089
59184000 2011 11 17 0.425390241943271
59270400 2011 11 18 0.443303133649453
59356800 2011 11 19 0.461216025355634
59443200 2011 11 20 0.479128917061816
59529600 2011 11 21 0.497041808767997
59616000 2011 11 22 0.514954700474179
59702400 2011 11 23 0.53286759218036
59788800 2011 11 24 0.550780483886542
59875200 2011 11 25 0.568693375592723
59961600 2011 11 26 0.586606267298905
60048000 2011 11 27 0.604519159005087
60134400 2011 11 28 0.622432050711268
60220800 2011 11 29 0.64034494241745
60307200 2011 11 30 0.658257834123631
60393600 2011 12 1 0.658257834123631
60480000 2011 12 2 0.658257834123631
60566400 2011 12 3 0.658257834123631
60652800 2011 12 4 0.658257834123631
60739200 2011 12 5 0.658257834123631
60825600 2011 12 6 0.658257834123631
60912000 2011 12 7 0.658257834123631
60998400 2011 12 8 0.658257834123631
61084800 2011 12 9 0.658257834123631
61171200 2011 12 10 0.658257834123631
61257600 2011 12 11 0.658257834123631
61344000 2011 12 12 0.658257834123631
61430400 2011 12 13 0.658257834123631
61516800 2011 12 14 0.658257834123631
61603200 2011 12 15 0.658257834123631
61689600 2011 12 16 0.658257834123631
61776000 2011 12 17 0.658257834123631
61862400 2011 12 18 0.658257834123631
